timestamp_sec,yaw_error_rad,mae_rad,p_term,i_term,d_term,output_omega_rad_s,target_yaw_rad,current_yaw_rad
89.42,0.0,0.0,0.0,0.0,0.0,0.0,0.3624,0.3624
89.467,-3e-06,1e-06,-4e-06,-0.0,-1.1e-05,-1.5e-05,0.3624,0.3624
89.519,-4e-06,2e-06,-6e-06,-0.0,-6e-06,-1.3e-05,0.3624,0.3625
89.568,-3e-06,2e-06,-4e-06,-0.0,6e-06,1e-06,0.3624,0.3625
89.618,-3e-06,2e-06,-4e-06,-0.0,1e-06,-2e-06,0.3624,0.3624
89.667,0.000127,2.3e-05,0.000191,0.0,0.000518,0.000709,0.3624,0.3623
89.717,0.000183,4.6e-05,0.000275,0.0,0.000224,0.0005,0.3624,0.3623
89.768,0.000609,0.000116,0.000913,0.0,0.001695,0.002609,0.3624,0.3618
89.818,0.00055,0.000165,0.000826,1e-06,-0.000234,0.000593,0.3624,0.3619
89.869,0.000764,0.000225,0.001146,1e-06,0.000853,0.002,0.3624,0.3617
89.917,0.00067,0.000265,0.001005,1e-06,-0.000375,0.000632,0.3624,0.3618
89.967,0.000386,0.000275,0.000579,2e-06,-0.001138,-0.000557,0.3624,0.3621
90.017,0.000355,0.000281,0.000533,2e-06,-0.000124,0.00041,0.3624,0.3621
90.069,0.000202,0.000276,0.000303,2e-06,-0.000612,-0.000307,0.3624,0.3622
90.117,0.000691,0.000303,0.001037,2e-06,0.001958,0.002998,0.3624,0.3618
90.168,0.001171,0.000358,0.001756,3e-06,0.001917,0.003676,0.3624,0.3613
90.219,0.001389,0.000418,0.002084,4e-06,0.000871,0.002958,0.3624,0.3611
90.266,0.001637,0.000486,0.002456,4e-06,0.000998,0.003458,0.3624,0.3608
90.318,0.002143,0.000573,0.003214,5e-06,0.002013,0.005233,0.3624,0.3603
90.37,0.002628,0.000676,0.003941,7e-06,0.001937,0.005885,0.3624,0.3598
90.42,0.003163,0.000794,0.004744,8e-06,0.002037,0.00679,0.3624,0.3593
90.469,0.003163,0.000902,0.004744,1e-05,0.0,0.004754,0.3624,0.3593
90.517,0.003439,0.001012,0.005159,1.2e-05,0.001108,0.006279,0.3624,0.359
90.567,0.003794,0.001128,0.005691,1.4e-05,0.001422,0.007126,0.3624,0.3587
90.619,0.004008,0.001243,0.006012,1.6e-05,0.000852,0.006879,0.3624,0.3584
90.667,0.004517,0.001369,0.006775,1.8e-05,0.002035,0.008828,0.3624,0.3579
90.718,0.0045,0.001485,0.00675,2e-05,-6.9e-05,0.006701,0.3624,0.3579
90.769,0.004262,0.001584,0.006392,2.2e-05,-0.000951,0.005464,0.3624,0.3582
90.818,0.00435,0.00168,0.006525,2.4e-05,0.000354,0.006903,0.3624,0.3581
90.866,0.004411,0.001771,0.006617,2.7e-05,0.000246,0.006889,0.3624,0.358
90.917,0.004587,0.001862,0.00688,2.9e-05,0.000703,0.007611,0.3624,0.3579
90.967,0.004396,0.001941,0.006595,3.1e-05,-0.000759,0.005867,0.3624,0.3581
91.017,0.004407,0.002016,0.00661,3.3e-05,4.1e-05,0.006684,0.3624,0.358
91.067,0.004437,0.002087,0.006656,3.5e-05,0.000123,0.006815,0.3624,0.358
91.117,0.004344,0.002151,0.006515,3.8e-05,-0.000375,0.006177,0.3624,0.3581
91.166,0.004543,0.002218,0.006815,4e-05,0.000799,0.007654,0.3624,0.3579
91.217,0.00537,0.002303,0.008055,4.3e-05,0.00331,0.011408,0.3624,0.3571
91.268,0.00523,0.00238,0.007844,4.5e-05,-0.000561,0.007328,0.3624,0.3572
91.319,0.005683,0.002465,0.008524,4.8e-05,0.001813,0.010386,0.3624,0.3568
91.369,0.006772,0.002572,0.010158,5.1e-05,0.004348,0.014557,0.3624,0.3557
91.417,0.007352,0.002689,0.011029,5.5e-05,0.002317,0.013401,0.3624,0.3551
91.47,0.007718,0.002809,0.011578,5.9e-05,0.001472,0.013109,0.3624,0.3547
91.517,0.008445,0.00294,0.012668,6.3e-05,0.00291,0.015641,0.3624,0.354
91.568,0.008526,0.003067,0.012788,6.7e-05,0.000318,0.013174,0.3624,0.3539
91.617,0.008648,0.003191,0.012971,7.2e-05,0.000491,0.013534,0.3624,0.3538
91.669,0.008778,0.003312,0.013167,7.6e-05,0.000523,0.013767,0.3624,0.3537
91.717,0.00865,0.003426,0.012975,8e-05,-0.000512,0.012544,0.3624,0.3538
91.767,0.008299,0.003527,0.012449,8.5e-05,-0.001402,0.011131,0.3624,0.3541
91.817,0.007656,0.003612,0.011485,8.8e-05,-0.002567,0.009006,0.3624,0.3548
91.867,0.00688,0.003677,0.010319,9.2e-05,-0.003115,0.007297,0.3624,0.3556
91.919,0.005456,0.003712,0.008184,9.5e-05,-0.005693,0.002586,0.3624,0.357
91.968,0.003952,0.003716,0.005929,9.7e-05,-0.006015,1e-05,0.3624,0.3585
92.018,0.003122,0.003705,0.004683,9.8e-05,-0.003318,0.001463,0.3624,0.3593
92.067,0.001508,0.003665,0.002262,9.9e-05,-0.006464,-0.004104,0.3624,0.3609
92.118,0.000534,0.003608,0.000801,9.9e-05,-0.00384,-0.00294,0.3624,0.3619
92.169,-0.000883,0.003559,-0.001325,9.9e-05,-0.005742,-0.006969,0.3624,0.3633
92.217,-0.002376,0.003538,-0.003564,9.8e-05,-0.005982,-0.009449,0.3624,0.3648
92.267,-0.003347,0.003535,-0.00502,9.6e-05,-0.003886,-0.00881,0.3624,0.3658
92.318,-0.004723,0.003555,-0.007085,9.4e-05,-0.00549,-0.012481,0.3624,0.3672
92.368,-0.005207,0.003583,-0.00781,9.1e-05,-0.001935,-0.009654,0.3624,0.3677
92.418,-0.006065,0.003623,-0.009098,8.8e-05,-0.003438,-0.012448,0.3624,0.3685
92.467,-0.006714,0.003673,-0.010071,8.5e-05,-0.002582,-0.012568,0.3624,0.3692
92.52,-0.00779,0.003738,-0.011685,8.1e-05,-0.004233,-0.015838,0.3624,0.3702
92.566,-0.007915,0.003804,-0.011873,7.7e-05,-0.000513,-0.012308,0.3624,0.3704
92.618,-0.007413,0.003859,-0.011119,7.3e-05,0.001941,-0.009105,0.3624,0.3699
92.668,-0.007413,0.003913,-0.011119,6.9e-05,0.0,-0.01105,0.3624,0.3699
92.717,-0.006973,0.003959,-0.01046,6.6e-05,0.001782,-0.008612,0.3624,0.3694
92.766,-0.006386,0.003994,-0.009578,6.3e-05,0.00235,-0.007165,0.3624,0.3688
92.818,-0.005325,0.004014,-0.007988,6e-05,0.004229,-0.003699,0.3624,0.3678
