timestamp_sec,yaw_error_rad,mae_rad,p_term,i_term,d_term,output_omega_rad_s,target_yaw_rad,current_yaw_rad
71.595,0.0,0.0,0.0,0.0,0.0,0.0,-2.69,-2.69
71.642,3e-06,1e-06,4e-06,0.0,1e-05,1.4e-05,-2.69,-2.69
71.692,3e-06,2e-06,5e-06,0.0,3e-06,8e-06,-2.69,-2.69
71.746,2e-06,2e-06,2e-06,0.0,-7e-06,-4e-06,-2.69,-2.69
71.792,0.0,2e-06,0.0,0.0,-6e-06,-6e-06,-2.69,-2.69
71.844,0.000885,0.000149,0.001328,0.0,0.003512,0.004841,-2.69,-2.6909
71.894,0.002907,0.000543,0.004361,2e-06,0.008116,0.012479,-2.69,-2.6929
71.943,0.006012,0.001227,0.009018,5e-06,0.012443,0.021466,-2.69,-2.696
71.993,0.009496,0.002145,0.014244,1e-05,0.013975,0.028229,-2.69,-2.6995
72.045,0.012295,0.00316,0.018443,1.6e-05,0.01114,0.029598,-2.69,-2.7023
72.092,0.014304,0.004173,0.021456,2.3e-05,0.00806,0.029538,-2.69,-2.7043
72.143,0.015696,0.005134,0.023544,3.1e-05,0.005603,0.029178,-2.69,-2.7057
72.193,0.015756,0.005951,0.023635,3.9e-05,0.00024,0.023913,-2.69,-2.7058
72.242,0.015515,0.006634,0.023272,4.6e-05,-0.000965,0.022354,-2.69,-2.7055
72.292,0.01471,0.007172,0.022065,5.4e-05,-0.003229,0.018891,-2.69,-2.7047
72.343,0.01303,0.007538,0.019545,6e-05,-0.00672,0.012886,-2.69,-2.703
72.392,0.011987,0.0078,0.01798,6.6e-05,-0.004175,0.013872,-2.69,-2.702
72.446,0.010051,0.007925,0.015076,7.1e-05,-0.007674,0.007474,-2.69,-2.7
72.498,0.008845,0.007974,0.013268,7.6e-05,-0.004729,0.008614,-2.69,-2.6988
72.542,0.00827,0.007988,0.012405,8e-05,-0.002374,0.010111,-2.69,-2.6983
72.594,0.007233,0.007952,0.01085,8.4e-05,-0.004126,0.006807,-2.69,-2.6972
72.65,0.006596,0.007891,0.009894,8.7e-05,-0.00255,0.00743,-2.69,-2.6966
72.694,0.005973,0.007807,0.008959,9e-05,-0.002496,0.006553,-2.69,-2.696
72.745,0.005705,0.00772,0.008558,9.3e-05,-0.001067,0.007584,-2.69,-2.6957
72.793,0.004441,0.007589,0.006662,9.5e-05,-0.005069,0.001687,-2.69,-2.6944
72.85,0.003235,0.007421,0.004853,9.6e-05,-0.004778,0.000171,-2.69,-2.6932
